"Time,Accel_x,Accel_y,Accel_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w,Gyro_x,Gyro_y,Gyro_z"
"18844,0.00,0.01,1.02,0.0070,-0.0021,-0.0270,0.9996,-0.85,0.18,-1.16"
"18894,0.00,0.02,1.03,0.0065,-0.0018,-0.0270,0.9996,-0.73,0.18,-1.22"
"18944,0.00,0.01,1.02,0.0066,-0.0018,-0.0270,0.9996,-0.98,0.12,-1.10"
"18994,0.00,0.02,1.03,0.0067,-0.0010,-0.0270,0.9996,-0.98,0.30,-1.34"
"19044,0.00,0.01,1.03,0.0062,-0.0022,-0.0270,0.9996,-0.98,0.24,-1.16"
"19094,0.00,0.01,1.03,0.0065,-0.0013,-0.0270,0.9996,-0.67,0.12,-1.28"
"19144,0.01,0.01,1.02,0.0061,-0.0028,-0.0270,0.9996,-0.85,0.18,-1.16"
"19194,0.00,0.01,1.02,0.0064,-0.0011,-0.0270,0.9996,-0.91,0.12,-1.16"
"19244,0.00,0.01,1.03,0.0062,-0.0023,-0.0270,0.9996,-0.91,0.18,-1.22"
"19294,0.00,0.01,1.03,0.0071,-0.0014,-0.0270,0.9996,-0.85,0.18,-1.10"
"19344,0.01,0.01,1.03,0.0070,-0.0025,-0.0270,0.9996,-0.91,0.00,-1.22"
"19394,0.00,0.01,1.02,0.0054,-0.0022,-0.0270,0.9996,-0.79,0.12,-1.16"
"19444,0.00,0.01,1.03,0.0068,-0.0013,-0.0270,0.9996,-0.79,0.12,-1.16"
"19494,0.00,0.01,1.02,0.0069,-0.0019,-0.0270,0.9996,-0.73,0.24,-1.16"
"19544,0.00,0.01,1.02,0.0068,-0.0021,-0.0270,0.9996,-0.91,0.18,-1.16"
"19594,0.00,0.01,1.03,0.0069,-0.0017,-0.0270,0.9996,-0.98,0.12,-1.22"
"19644,0.01,0.01,1.03,0.0072,-0.0027,-0.0270,0.9996,-0.91,0.18,-1.10"
"19694,0.00,0.01,1.02,0.0074,-0.0011,-0.0270,0.9996,-0.79,0.18,-1.22"
"19744,0.00,0.02,1.02,0.0060,-0.0015,-0.0270,0.9996,-0.73,0.18,-1.22"
"19794,0.00,0.01,1.02,0.0067,-0.0025,-0.0270,0.9996,-0.73,0.06,-1.22"
"19844,0.00,0.01,1.02,0.0065,-0.0013,-0.0270,0.9996,-0.91,0.18,-1.34"
"19894,0.00,0.01,1.02,0.0058,-0.0016,-0.0270,0.9996,-0.73,0.00,-0.98"
"19944,0.00,0.01,1.03,0.0060,-0.0017,-0.0270,0.9996,-0.73,0.18,-1.28"
"19994,0.00,0.01,1.02,0.0067,-0.0021,-0.0270,0.9996,-0.73,0.06,-1.28"
"20044,0.00,0.01,1.03,0.0063,-0.0019,-0.0270,0.9996,-0.85,0.24,-1.16"
"20094,0.00,0.01,1.02,0.0057,-0.0020,-0.0270,0.9996,-0.91,0.18,-1.22"
"20144,0.00,0.01,1.02,0.0071,-0.0017,-0.0270,0.9996,-0.79,0.12,-1.28"
"20194,0.00,0.02,1.03,0.0072,-0.0021,-0.0270,0.9996,-0.79,0.12,-1.16"
"20244,0.00,0.02,1.02,0.0067,-0.0008,-0.0270,0.9996,-0.98,0.00,-1.16"
"20294,0.00,0.01,1.02,0.0058,-0.0020,-0.0270,0.9996,-0.98,0.12,-1.22"
"20344,0.00,0.01,1.03,0.0063,-0.0010,-0.0270,0.9996,-0.91,0.18,-1.28"
"20394,0.00,0.01,1.02,0.0063,-0.0018,-0.0270,0.9996,-0.91,0.12,-1.22"
"20444,0.00,0.01,1.02,0.0060,-0.0013,-0.0270,0.9996,-0.98,0.18,-1.16"
"20494,0.01,0.01,1.02,0.0069,-0.0019,-0.0270,0.9996,-0.79,0.12,-1.22"
"20544,0.00,0.01,1.02,0.0068,-0.0018,-0.0270,0.9996,-0.67,0.12,-1.22"
"20594,0.00,0.01,1.02,0.0068,-0.0025,-0.0270,0.9996,-0.85,-0.12,-1.10"
"20644,0.00,0.01,1.02,0.0065,-0.0018,-0.0270,0.9996,-0.79,0.00,-1.28"
"20694,0.00,0.01,1.03,0.0061,-0.0011,-0.0270,0.9996,-0.79,0.12,-1.16"
"20744,-0.00,0.01,1.02,0.0064,-0.0001,-0.0270,0.9996,-0.98,0.12,-1.16"
"20794,0.00,0.01,1.02,0.0066,-0.0019,-0.0270,0.9996,-0.91,0.00,-1.22"
"20844,0.01,0.01,1.02,0.0067,-0.0022,-0.0270,0.9996,-0.73,0.12,-1.22"
"20894,0.00,0.02,1.02,0.0067,-0.0014,-0.0270,0.9996,-0.79,0.24,-1.22"
"20944,0.00,0.01,1.03,0.0065,-0.0008,-0.0270,0.9996,-0.98,0.12,-1.16"
"20994,0.00,0.01,1.03,0.0067,-0.0022,-0.0270,0.9996,-0.85,0.24,-1.22"
"21044,0.00,0.01,1.02,0.0058,-0.0014,-0.0270,0.9996,-0.79,0.00,-1.16"
